stars,comment
2.0 out of 5 stars,"







  
  
    Light yes,  and powerful as well  But....while a large number of consumers are  delightedI am confused.This vacuum DOES NOT STAND UPRIGHT and is very top heavy. The motor is placed at the top of the handle, a strange design choice.The cannister is a disaster. It is far too tiny for carpet work and it DOESNOT DETACH !  so emptying it is a clumsy task and a messy one .Because it cannot be detached it cannot be cleaned easily., Rocket engineersshould go back to the drawing board and fix these features.
  
"
2.0 out of 5 stars,"







  
  
    I was looking for something that would vacuum laminate or other hard flooring under beds and low clearance furniture where dust collects. I have very few carpets. I found the handle not long enough for cleaning under a king sized bed and the dust / microfiber floor attachment head impossible to control from a horizontal position. Easily controlled vertically but poor design and uncontrollable when the vacuum is horizontally used; the floor attachment head moves uncontrollably side to side.  I also did  not want to use the microfiber cloth (may as well use a dust mop - just interested in the suction) but operating without the cloth seems to mean dragging the plastic piece (designed to hold the cloth) over the floor which I didn't want to do. The carpet / floor head worked better but I don't like the brush turning  over the hard floors (even at the slow speed) and the head is too thick for low clearance furniture. Seems to be an okay vacuum otherwise but poorly designed for my specific intent.
  
"
2.0 out of 5 stars,"







  
  
    pro-good sucking power, great for under tables, easy  to clean, extra long cordcon-catch basket too smallUPDATE: Motor gave out
  
"
2.0 out of 5 stars,"







  
  
    I like the vacuum but its only been 3 years and the motor has gone out.  I dont recommend buying this product.  I expect a lot more from something this price.
  
"
2.0 out of 5 stars,"







  
  
    AVOID, IT CAN BE AWKWARD TO USE AND ITS TOP HEAVY.
  
"
2.0 out of 5 stars,"







  
  
    I had a Shark vacuum that bit the dust after years of everyday use and loved it so much, I knew I wanted another Shark. I should've bought the same model and not this one for these reasons..1. It's awkward using a top heavy vacuum when you're used to most of the weight being on the bottom.2. It doesn't stand up by itself. You either have to lean it on a wall just right so it doesn't slide down, or put it on the holder thing that comes with it that you have to install in a closet or door.3. The capacity of the dirt canister is horrible. I have a 2 story house with carpet upstairs and on the steps, and rugs downstairs. Just figure that for every full canister you're used to emptying, this will have to be emptied at least 3 times.4. Before it's really full and needs to be emptied, sometimes it makes a weird noise and you have to kinda tap the air vent lookin part. So annoying!I guess for someone who only has a rug on hardwood floors or a New York sized apartment, this would be great if you can get past the top heaviness. But I have 4 kids and a lot of carpet and just want to freaking vacuum without it being a big ordeal. I only had this for a few months and ended up getting the full sized Shark pro and I'm in love with my vacuum again.
  
"
2.0 out of 5 stars,"







  
  
    I am known as the Vacuum Queen in my family. I purchase a new one at least every two years. I hope I get at least two years out of this one before giving it away. I'm hoping I just have to get use to the design and size.Like any new vacuum, it picks up well. However, there are several problems with the design. 1. If you are short or have problems bending, it is extremely awkward trying to wrap the cord around the cord hooks. 2. It is heavy on the wrist when trying to use the handheld portion of the vacuum while cleaning overhead (a hose on an upright vacuum is far superior). 3. It does not stand on its own, so if you have to momentarily turn off the vacuum, you either have to lie it on the ground or position it between two pieces of furniture. It will slide and hit the floor if you just lean it against the wall, and I do not like the idea of having to hang my vacuum when storing it. 4. The canister lock is a bit tricky, and if it is not properly closed or when having to empty it over a garbage can, you're in for a real mess.
  
"
2.0 out of 5 stars,"







  
  
    sent it back
  
"
2.0 out of 5 stars,"







  
  
    I’ve owned this vacuum for 2-3 years now and I still HATE it. Stupidest design ever!!  Doesn’t stand up by itself, and the part that you empty is connected to the cord so you have to drag the cord and canister out to empty it. Pros:  good suction and light weight.
  
"
2.0 out of 5 stars,"







  
  
    I typed cordless.  This came up and most pictures the photo shopped the cord out.  It was a gift, so I had no choice but to keep it.
  
"
