stars,comment
1.0 out of 5 stars,"







  
  
    I bought this about 9 months ago. The pro: I will use it in my RV. The cons: TOO heavy. Self propelled is great while sweeping forward but makes it a workout when pulling back (which is half of all vacuuming). I am 57 so may be ok for a younger person. It will not stand on it's own so if you need to stop for a moment to pick something up/move you have to lay it down. Also makes storing it hard. Must lean up agains something or hang from a hook. To empty the SMALL dust bucket you have to take it off the stand and fight w/ the long cord that always wants to get in the way. Would never buy again. Bought for basement but will be keeping/using it in my RV instead as it is small.
  
"
1.0 out of 5 stars,"







  
  
    Initially I was very impressed and then the clamp on the bag-less container kept coming loose and then a belt broke and I cant find a replacement at any retailer including a repair shop. UGH!!!
  
"
1.0 out of 5 stars,"







  
  
    I’ve never written a negative review before, but this is my second Shark product that has gone into the trash bin.  I’d give it five stars for performance but 0 for service.  Since this is the second of two Sharks I’ve trashed due to problems replacing simple, common consumables, I’ll give it one star overall.  These really are great vacuums until they require service, then forget it.  They are awful to try to repair, any access is unnecessarily difficult, and forget about getting help from customer service.  The cord frayed around the keeper on this Rocket.  After removing every screw I could see, and a couple I couldn’t, I still could not access the area to replace the cord.The other Shark vacuum broke a belt, and Shark’s customer service sent me the wrong replacement.  I won’t go into the whole ordeal except to say I had to remove at least twenty five screws and parts to get to the belt.  The old Hoover’s had two.  The ironic part is the Shark advertised that vacuum as “not needing replacement belts”.  Well, it’s a little rubber band, of course it’s going to break.  Again the vacuum worked well until it didn’t.  It chaps me to toss $400 of equipment because I couldn’t replace a $10 part on one and a $5 part on the other. And that didn’t take into account the 5-6 hours I spent on what should have been two five minute jobs.  No more Sharks for our household.
  
"
1.0 out of 5 stars,"







  
  
    This vacuum is absolutely useless if you’re used to a standard vacuum. I can not believe how many 5 start reviews it has! What am I missing!!?1) You have to detach the head and drag it and THE ENTIRE CORD with you every single time you empty it. Yes, all 30 feet of the cord!!!! Which is a real blast when your large trash can is across the house (and believe me you need a large trash can, not just a bag, because the dirt goes EVERYWHERE no matter how carefully you empty)2) Speaking of emptying, you’ll be doing that every few minutes if you are vacuuming an entire room. The container that traps dirt is extremely small and the filter clogs in a week (and I’m a very “average” user - not too dirty or dusty or anything dramatic). For example, I just vacuumed a 12x18 room and had to empty twice! No big mess, no real dirt, it’s just such a small and inconvenient container.3. The freakin thing falls over! It does not stand up on its own unless you DRILL a PERMANENT wall mount into one space in your house. I have a kid - this is not even remotely convenient.Ugh. I am so regretting this purchase.
  
"
1.0 out of 5 stars,"







  
  
    I bought this vacuum cleaner last year for my wife on Mother's Day. It lasted just over a year and it's pretty much garbage now. The manufacturing of the Plastics is weak and this unit is defective. I should be getting my money back.
  
"
1.0 out of 5 stars,"







  
  
    The Shark Rocket is NOT for Senior Citizens because every time you stop using it you have to lay it down. It will not stand up like a normal vacuum.  So you have to BEND over to pick it up which is not easy when you are over 60 years old. Also, I found it very hard to control when trying to vacuum in a straight line. It wants to go all over the place and it is easy to bump into things with it. The dust cannister also has a very SMALL capacity so you are always dumping it if you have a large area to vacuum. Because the vacuum will not stand up you have to put screws in the wall to hang it up or take the motor off and mount it at the bottom which is a PIA. It would probably be a good vacuum for a younger person with a small house or apartment where you have a lot of obstacles to go around because it is very easy to maneuver and you can vacuum under stuff like a bed which is nice but overall I like the regular Shark better. I returned mine in one day.
  
"
1.0 out of 5 stars,"







  
  
    Poor service and misleading warranty.The hose broke within a year and i was told it was not covered under warranty
  
"
1.0 out of 5 stars,"







  
  
    I'm not sure if I got a faulty vacuum but this vacuum only picks up stuff on the back stroke and it also throws stuff behind you when you're vacuuming. So you think you've picked stuff up, but really the brushes have just thrown the debris all over behind you. This is the most frustrating, uesless vacuum I have ever used. I'm so disappointed, as the Shark brand vacuums are usually amazing. We do not have carpet, only hardwood. You also can't turn the brushes off, only can turn the speed down. This ones going in the trash, sadly!
  
"
1.0 out of 5 stars,"







  
  
    I hate this thing.  HATE.  If the apocalypse comes and it's nuclear war or an asteroid hitting the Earth, my only wish is to survive long enough to see this thing melt.  I am utterly bewildered by the number of positive ratings this thing has. Yes, it's light weight-- it's so light weight, you have to constantly kick the top down to keep contact with the floor.  Second, I don't know what the Hell they're using on their infomercials to show this thing's cleaning power, but I wish I could get video of myself sweeping over and over the same little bitty pieces of dirt.  But here's the final straw-- because my other vacuum is broken, I had to use this to vacuum kitty litter (clean, fortunately) that had spilled on carpet.  It seemed like it was cleaning it up, but as I shifted from carpet to tile hallway, it literally ejected kitty litter all over the place.  It wasn't sucking it up, it was just spinning it around the rollers, and when I switched from carpet to hard floor, the spinning stopped and the kitty litter exploded all down the hall.  AND, when I went to clean out the bin, I discovered the carpet fibers had clogged the machine all the way up the tube.  I had to use an unbent coat hanger to push the clog out of the tube.  There's nothing special about the carpet-- Home Depot bargain bin, nothing challenging.  My Dyson never had an issue with it-- this did one SMALL room and was clogged.Now let's talk about the bin.  The engineering masterminds that made this put the bin on top, and they also put the nice long cord on the same component.  So, to dump the bin, you have to either unplug and carry the cord and all to the trash to dump it, or stay within plug's reach of the trashcan.AND, it does't stand up by itself.  See how it's pictured, all nice and stable?  Yeah-- NO.  You can't even prop it against a wall-- it slides forward and falls.  You have to wedge it in a corner so it won't fall forward or leave your vacuum laying on the floor if you stop vacuuming for a bit.I had a Shark floor steamer for years and I WANTED to like this-- I did.  But it is absolutely horrible.  Horrible design, horrible performance, HORRIBLE.  DO NOT BUY.
  
"
1.0 out of 5 stars,"







  
  
    Lasted 6 months before the beater bar stopped working. I bought it for my mom because it was light and she is physically disabled and can’t lift anything heavy.  Yet, the Shark didn’t last long. I called the company and they offered to sell me a new beater bar head. Apparently, the limited warranty is limited to the power head only. Having taken a closer look, the issue is the power connection in the rigid pipe to the power head. Very poor engineering that is bound to fail. With the warranty so limited but the willingness to sell me parts, I will take this as a lesson learned and take my money elsewhere.
  
"
