stars,comment
5.0 out of 5 stars,"







  
  
    very powerful suction.  picks up everything no need to go back and forth.  Very lightweight and easy to maneuver.  I bought this for my wife and she absolutely loves it.  Extra long chord lets user move away from plug receptacle.
  
"
5.0 out of 5 stars,"







  
  
    This vacuum works wonderfully from hard floors to deep carpet and the hose works well to get high and tight spaces. It is very powerful and can hold a lot of debris for its size which is good because you can vacuum for a while without having to stop to dump dirt so often. I use it for my 918 sq. ft. apartment and only have to dump it once or twice. I also love that it is so lightweight and compact enough to store anywhere without taking much space at all.
  
"
5.0 out of 5 stars,"







  
  
    I had been looking for a light weight broom/vacuum mainly for my kitchen area; this model seemed to fit the bill.  Am I surprised with this purchase??  YOU BET!!This little vacuum exceeds my expectations!  First, being able to take it apart and use just the handle part is great for using in the car, etc,  then, being able to disengage the floor attachment makes it great for baseboards, etc.Lastly, the BIGGEST surprise? It does better on my carpets than my $400. Dyson 16.  I am delighted to submit THIS review because it's well deserved.
  
"
5.0 out of 5 stars,"







  
  
    I don’t have any Carpet in my house only Tile and hardwood. I have been on a search for a good stick vacuum. This rocket works very well. I have had it for about 9 months now and it’s still going strong. The hero attachment works the best on my Hardwood floors. It’s is a low attachment which allows for dog hair to be sucked up easily.
  
"
5.0 out of 5 stars,"







  
  
    This product is amazing! It makes my life so much easier and every day I use it, I find myself exclaiming how glad I am that I bought it. My husband and I both work a lot and its great to have this product. I use it as my broom and to get rid of the dog hair my husky sheds!  The head swivels so its good for many hard to get areas and the easy way it disconnects makes getting into corners quick. This is very light so I don't really dread when I have to pull it out of any area to plug it in and use it. I keep it readily accessible so that seeing it will make the vacuuming happen more often. I can switch from getting the baseboards quickly to straight back to vacuuming.
  
"
5.0 out of 5 stars,"







  
  
    I've had this thing for about an hour so I can't comment too much on the durability or how long it'll last, but I spent a little too long cleaning my house the second I got it out of the box and it's everything I was looking for. It's very powerful with a strong suction and cleans carpet and wood floors both really nicely. I love all the attachments it came with, it makes it so easy to get into every little crevice. I used the nozzle attachment to go across the top of my baseboards and I couldn't believe how much dirt came off. I am so impressed and so far, would recommend it 100%. Keep in mind I'm coming from a cheap little 15 year old Bissel 3 in 1 stick vac, so pretty much anything would've been an improvement, but I'm seriously in love with this one!
  
"
5.0 out of 5 stars,"







  
  
    This vacuum is great! I decided to upgrade to this one from a $20 hunk of plastic from Walmart.It's got a multitude of different head attachments for all sorts of flooring and locations. I tried out the regular head and the crevice tool so far and am impressed with the suction and ease of emptying.I was specifically looking for a corded stick vacuum and this is exactly what I wanted, exceeds expectations for the price.
  
"
5.0 out of 5 stars,"







  
  
    I loved the Shark Rocket so much when I first got it in April of 2019 that I got rid of my other (very expensive) vacuum. Unfortunately it started having suction issues a few months later. However, I finally got around to calling Shark when the issue got too bad to use to vacuum in December, 2019. The customer service was excellent and they were eager to fix the problem. I'm currently awaiting the arrival of my unit (I paid for shipping, no other costs as it was still under warranty). I recommend the Shark Rocket for the unit and customer service availability.
  
"
5.0 out of 5 stars,"







  
  
    I had an older shark model that worked great but was just too heavy to lug up and downstairs and around the house. I dreaded using it. This model is extremely light and has good suction.  The con is that the vacuum head is small and it takes longer to cover more surface area.  To get the most from this vacuum, use the attachments.  Even though it takes me longer to vacuum, I'm not as tired.  I also had a dyson animal - the Shark Ultralight is a better product.
  
"
5.0 out of 5 stars,"







  
  
    Having searched, read reviews and listened to friends who own this Shark, I bought one for myself. I am a small woman with arthritis and like to keep a  clean home. This vacuum allows me to easily care for all rugs, hardwood floors and carpeted staircases. It moves easily and is light enough for me to work the stairs. The additional tools included have already been put to good use. The fact that it doesn't stand on its own was not a deal breaker for me as I do not mind resting it against a chair. Very happy with my purchase.
  
"
5.0 out of 5 stars,"







  
  
    I have all wood floors with a few small rugs. I bought the rocket with the rug attachment, but I don’t need it. The floor model works well on the small rugs. The rocket is so convenient, much faster than sweeping the floors. People complained that it doesn’t stand up, which I do not see as a problem. It lays down very easily, if needed. The swivel head makes it perfect on corners, under the couch and furniture.
  
"
